Year,Film,Nominated AA,Nominated WGA BAS,Nominated WGA BOS,Nominated Baftas BD,Nominated CC BD,Nominated GG BActress Supp,Nominated GG BActor Supp,Nominated GG BActress Comedy/Musical,Nominated GG BActress Drama,Nominated GG BActor Comedy/Musical,Nominated GG BActor Drama,Nominated SAG BActor Supp,Nominated SAG BActress Supp,Nominated SAG BA,Nominated SAG BActress,Nominated GG SP,Nominated GG BD,Nominated GG BP Comedy/Musical,Nominated GG BP Drama,Nominated Baftas BP,Nominated CC BP,Nominated DGA,Nominated SAG Best Ensemble,Nominated PGA BP,IMDb Rating,Runtime (mins),Genres,Num. Votes(IMDb),Release Date (month/day/year)
2007(80th Annual Awards),Why Did I Get Married?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,113,"comedy, drama",9629,04/10/2007
2007(80th Annual Awards),Wild Hogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,100,"action, adventure, comedy",98093,27/02/2007
2007(80th Annual Awards),Wind Chill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,91,"drama, horror, thriller",17278,27/04/2007
2007(80th Annual Awards),The Wind That Shakes the Barley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,127,"drama, history, war",35961,18/05/2006
2007(80th Annual Awards),Wristcutters: A Love Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,88,"comedy, drama, fantasy, romance",45179,24/01/2006
2007(80th Annual Awards),Year of the Dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,97,"comedy, drama",5345,20/01/2007
2007(80th Annual Awards),You Kill Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,93,"comedy, crime, romance, thriller",15944,28/04/2007
2007(80th Annual Awards),Youth Without Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,124,"comedy, drama, fantasy, history, mystery, romance, sci_fi, thriller, war",11197,20/10/2007
2007(80th Annual Awards),Zodiac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,157,"crime, drama, history, mystery, thriller",288688,02/03/2007
2006(79th Annual Awards),Abominable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,94,"horror, thriller",3167,10/04/2006
2006(79th Annual Awards),Accepted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,93,comedy,103463,18/08/2006
2006(79th Annual Awards),Akeelah and the Bee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,112,drama,14930,16/03/2006
2006(79th Annual Awards),All the King’s Men,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,128,"drama, thriller",20402,10/09/2006
2006(79th Annual Awards),American Dreamz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,107,"comedy, music",22468,04/03/2006
2006(79th Annual Awards),Annapolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,108,"drama, romance, sport",17684,23/01/2006
2006(79th Annual Awards),The Ant Bully,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,88,"animation, adventure, comedy, family, fantasy",29393,28/07/2006
