Year,Film,CC.BP,DGA,PGA.BP,B.BD,B.BP,CC.BD,GG.SP,GG.BP.D
2017 (89th Academy Awards),THE GIRL ON THE TRAIN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GLEASON,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GOLD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GREATER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GREEN ROOM,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HACKSAW RIDGE,1,0,1,0,0,1,0,1
2017 (89th Academy Awards),"HAIL, CAESAR!",0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE HANDMAIDEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HANDS OF STONE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HARDCORE HENRY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HELL OR HIGH WATER,1,0,1,0,0,1,1,1
2017 (89th Academy Awards),"HELLO, MY NAME IS DORIS",0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HIDDEN FIGURES,0,0,1,0,0,0,0,0
2017 (89th Academy Awards),HIGH-RISE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HILLSONG - LET HOPE RISE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE HOLLARS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),A HOLOGRAM FOR THE KING,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HOW TO BE SINGLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HOW TO LET GO OF THE WORLD AND LOVE ALL THE THINGS CLIMATE CAN'T CHANGE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),HUNT FOR THE WILDERPEOPLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE HUNTSMAN: WINTER'S WAR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),I AM NOT YOUR NEGRO,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),"I, DANIEL BLAKE",0,0,0,1,1,0,0,0
2017 (89th Academy Awards),I SAW THE LIGHT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ICE AGE: COLLISION COURSE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),IN A VALLEY OF VIOLENCE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),INDEPENDENCE DAY: RESURGENCE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),INDIGNATION,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),INFERNO,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE INVITATION,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),IS THAT A GUN IN YOUR POCKET?...,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ITHACA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),JACK REACHER: NEVER GO BACK,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),JACKIE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),JASON BOURNE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),JIM: THE JAMES FOLEY STORY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),JULIETA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE JUNGLE BOOK,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),KEANU,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),KEEPING UP WITH THE JONESES,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),KINGSGLAIVE FINAL FANTASY XV,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),KNIGHT OF CUPS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),KRISHA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),KUBO AND THE TWO STRINGS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),KUNG FU PANDA 3,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LA LA LAND,1,1,1,1,1,1,1,0
2017 (89th Academy Awards),LAND OF MINE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LANDFILL HARMONIC,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LAST DAYS IN THE DESERT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),L'ATTESA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE LEGEND OF BEN HALL,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE LEGEND OF TARZAN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE LENNON REPORT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),"LIFE, ANIMATED",0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LIFE ON THE LINE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE LIGHT BETWEEN OCEANS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LIGHTS OUT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LION,1,1,1,0,0,0,0,1
2017 (89th Academy Awards),LITTLE MEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE LITTLE PRINCE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LIVE BY NIGHT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE LOBSTER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LONDON HAS FALLEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LONDON ROAD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LONG WAY NORTH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LOUDER THAN BOMBS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LOVE & FRIENDSHIP,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE LOVE WITCH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),LOVING,1,0,0,0,0,0,0,0
2017 (89th Academy Awards),MS DHONI - AN UNTOLD STORY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MA MA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MAGGIE'S PLAN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE MAGNIFICENT SEVEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),A MAN CALLED OVE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MAN DOWN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE MAN WHO KNEW INFINITY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MANCHESTER BY THE SEA,1,1,1,1,1,1,1,1
2017 (89th Academy Awards),MASCOTS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MAX ROSE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ME BEFORE YOU,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE MEASURE OF A MAN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE MEDDLER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MEN & CHICKEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MIDDLE SCHOOL: THE WORST YEARS OF MY LIFE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MIDNIGHT SPECIAL,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MIFUNE: THE LAST SAMURAI,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MIKE AND DAVE NEED WEDDING DATES,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MILES AHEAD,0,0,0,0,0,0,0,0
